Date,Daily flow,IO,WCO,station_no,station_name,lon,lat,Natural flow,Minimum flow,Calculated flow,Q80,Q90,Q95,Industrial IO,Non-industrial IO,Q90_1,IFN
2025-07-18,,8.5,9.350000000000001,05AA024,Oldman River near Brocket - WSC,-113.8227,49.55781,20.716666666666622,,,,,,,,,
2025-07-18,,20.0,37.79500000000007,05AD007,Oldman River near Lethbridge - WSC,-112.8629,49.70942,83.98888888888905,,,,,,,,,
2025-07-18,,2.74673411953978,,05AE006,St. Mary River near Lethbridge - WSC,-112.8467,49.57346,31.565972222222477,,,,,,,,,
2025-07-18,,20.0,39.0409375,05AG006,Oldman River near the Mouth - WSC,-111.8,49.91889,86.75763888888888,,,,,,,,,
2025-07-18,,42.4752698897904,113.95812500000115,05AJ001,South Saskatchewan River at Medicine Hat - WSC,-110.6775,50.04209,253.24027777778034,,,,,,,,,
2025-07-18,,11.4,73.01343750000075,05BM004,Bow River below Bassano Dam - WSC,-112.5423,50.75018,162.25208333333498,,,,,,,,,
2025-07-18,,11.4,73.01343750000075,05BN012,Bow River near the Mouth - WSC,-111.5909,50.04728,164.0812499999996,,,,,,,,,
2025-07-18,,,18.954999999999963,05CC002,Red Deer River at Red Deer - WSC,-113.8231,52.27053,42.12222222222214,,,,,,,,,
2025-07-18,,,19.018124999999955,05CD004,Red Deer River near Nevis - EPA,-113.0667,52.3,42.262499999999896,,,,,,4.25,8.5,,
2025-07-18,,,19.34531249999984,05CE001,Red Deer River at Drumheller - WSC,-112.7115,51.46727,42.98958333333297,,,,,,4.25,8.5,,
2025-07-18,,,20.36624999999998,05CK004,Red Deer River near Bindloss - WSC,-110.2995,50.90269,45.25833333333329,,,,,,4.25,8.5,,
