Application Number,Authorization Number,File Number,Interim Licence Number,Authorization Status,Authorization Status Date,Authorization Holder,Authorization Issue Date,Authorization Effective Date,Authorization Expiry Date,Authorization Type,Allocation Purpose,Allocation Classification,Allocation Sub Classification,Allocation Specific Classification,Allocation Point Type,Allocation Status Date,Allocation Number,Allocation Type,Allocation Status,Allocation Priority Number,Allocation Water Body,Allocation Diversion Rate,Allocation Diversion Rate Units,Allocation Diversion Quantity (M3),Allocation Consumptive Use (M3),Allocation Losses (M3),Allocation Return Flow (M3),Allocation Centroid ATS,Allocation Production Interval Upper (M),Allocation Production Interval Lower (M),Allocation Production Well ID,Allocation Irrigable Area (HA),Allocation River Sub Basin Code,Allocation River Sub Basin,Allocation River Basin,Allocation Latitude,Allocation Longitude,Authorization Regulator,Legacy Authorization Number,AuthorizationNumber,PdfHyperlink,DocumentID,PdfFound,PdfSource,LastChecked
33525977,10002189,,,Active,2025-06-12 08:58:08,Lotus Creek Exploration Inc.,2025-06-12 00:00:00,2025-06-12 00:00:00,2025-09-30 00:00:00,Temporary Diversion Licence,Commercial,Industrial,Upstream Oil & Gas,Multi-Stage Horizontal Hydraulic Fracturing (Drilling & Completions),Point of diversion,2025-06-12 08:58:08,AER0100002,Surface Water,Active,,Dugout,0.04,Cubic Metres Per Second,2000.0,2000.0,,,NE-24-042-05-W5,,,,,05CC,MEDICINE - BLINDMAN RIVERS,Red Deer River,52.633,-114.5788,Alberta Energy Regulator,,10002189,https://geospatial.alberta.ca/erv-water-act/?page=Water-Act&authorizationNumber=10002189,,False,ERV fallback (direct PDF not found in HTML),2026-03-19 17:50:33
33528918,10002788,,,Active,2025-09-08 14:45:04,Spartan Delta Corp.,2025-09-08 00:00:00,2025-09-08 00:00:00,2026-06-01 00:00:00,Temporary Diversion Licence,Commercial,Industrial,Upstream Oil & Gas,Multi-Stage Horizontal Hydraulic Fracturing (Drilling & Completions),Point of diversion,2025-09-08 14:45:04,AER0100098,Groundwater,Active,,Paskapoo Aquifer,2816.0,Cubic Metres Per Day,400000.0,400000.0,,,NE-02-043-04-W5,56.7,70.0,1590394,,05CC,MEDICINE - BLINDMAN RIVERS,Red Deer River,52.6818,-114.4695,Alberta Energy Regulator,,10002788,https://geospatial.alberta.ca/erv-water-act/?page=Water-Act&authorizationNumber=10002788,,False,ERV fallback (direct PDF not found in HTML),2026-03-19 17:50:53
33532340,10002213,,,Active,2025-06-17 10:09:03,Baytex Energy Ltd.,2025-06-17 00:00:00,2025-06-15 00:00:00,2025-12-30 00:00:00,Temporary Diversion Licence,Commercial,Industrial,Upstream Oil & Gas,Multi-Stage Horizontal Hydraulic Fracturing (Drilling & Completions),Point of use,2025-06-17 10:09:03,AER0100350,,Active,,,,,,,,,NE-20-041-03-W5,,,,,05CC,MEDICINE - BLINDMAN RIVERS,Red Deer River,52.5461,-114.3947,Alberta Energy Regulator,,10002213,https://geospatial.alberta.ca/erv-water-act/?page=Water-Act&authorizationNumber=10002213,,False,ERV fallback (direct PDF not found in HTML),2026-03-19 17:50:34
33547320,10002283,,,Active,2025-06-27 13:52:30,Paramount Resources Ltd.,2025-06-27 00:00:00,2025-06-17 00:00:00,2025-10-31 00:00:00,Temporary Diversion Licence,Commercial,Industrial,Upstream Oil & Gas,Upstream Hydrostatic Testing & Pipeline Construction & Operation,Point of use,2025-06-27 13:52:30,AER0100641,,Active,,,,,,,,,NW-28-038-06-W5,,,,,05CC,MEDICINE - BLINDMAN RIVERS,Red Deer River,52.2985,-114.8051,Alberta Energy Regulator,,10002283,https://geospatial.alberta.ca/erv-water-act/?page=Water-Act&authorizationNumber=10002283,,False,ERV fallback (direct PDF not found in HTML),2026-03-19 17:50:36
33715255,10002319,,,Active,2025-10-29 16:04:28,Baytex Energy Ltd.,2025-07-07 00:00:00,2025-07-07 00:00:00,2026-06-30 00:00:00,Temporary Diversion Licence,Commercial,Industrial,Upstream Oil & Gas,Multi-Stage Horizontal Hydraulic Fracturing (Drilling & Completions),Point of use,2025-10-29 16:04:28,AER0101162,,Active,,,,,,,,,NE-29-045-02-W5,,,,,05CC,MEDICINE - BLINDMAN RIVERS,Red Deer River,52.9111,-114.2532,Alberta Energy Regulator,,10002319,https://geospatial.alberta.ca/erv-water-act/?page=Water-Act&authorizationNumber=10002319,,False,ERV fallback (direct PDF not found in HTML),2026-03-19 17:50:38
33560761,10002336,,,Active,2025-07-07 15:56:56,Parallax Energy Operating Inc.,2025-07-07 00:00:00,2025-07-09 00:00:00,2025-10-31 00:00:00,Temporary Diversion Licence,Commercial,Industrial,Upstream Oil & Gas,Multi-Stage Horizontal Hydraulic Fracturing (Drilling & Completions),Point of diversion,2025-07-07 15:56:56,AER0101690,Surface Water,Active,,Surface Runoff,0.01,Cubic Metres Per Second,2000.0,2000.0,,,NW-15-038-28-W4,,,,,05CC,MEDICINE - BLINDMAN RIVERS,Red Deer River,52.2691,-113.9232,Alberta Energy Regulator,,10002336,https://geospatial.alberta.ca/erv-water-act/?page=Water-Act&authorizationNumber=10002336,,False,ERV fallback (direct PDF not found in HTML),2026-03-19 17:50:39
33573675,10002458,,,Active,2025-07-23 15:34:14,Baytex Energy Ltd.,2025-07-23 00:00:00,2025-07-23 00:00:00,2025-10-31 00:00:00,Temporary Diversion Licence,Commercial,Industrial,Upstream Oil & Gas,Drilling (Conventional & Vertical Fracturing),Point of use,2025-07-23 15:34:14,AER0102327,,Active,,,,,,,,,NW-18-044-01-W5,,,,,05CC,MEDICINE - BLINDMAN RIVERS,Red Deer River,52.7943,-114.1435,Alberta Energy Regulator,,10002458,https://geospatial.alberta.ca/erv-water-act/?page=Water-Act&authorizationNumber=10002458,,False,ERV fallback (direct PDF not found in HTML),2026-03-19 17:50:41
33573825,10002490,,,Active,2025-07-28 14:58:54.000001,Tourmaline Oil Corp.,2025-07-28 00:00:00,2025-08-01 00:00:00,2026-03-31 00:00:00,Temporary Diversion Licence,Commercial,Industrial,Upstream Oil & Gas,Multi-Stage Horizontal Hydraulic Fracturing (Drilling & Completions),Point of use,2025-07-28 14:58:54.000001,AER0102355,,Active,,,,,,,,,NW-07-040-06-W5,,,,,05CC,MEDICINE - BLINDMAN RIVERS,Red Deer River,52.4296,-114.8639,Alberta Energy Regulator,,10002490,https://geospatial.alberta.ca/erv-water-act/?page=Water-Act&authorizationNumber=10002490,,False,ERV fallback (direct PDF not found in HTML),2026-03-19 17:50:43
33586064,10002520,,,Active,2025-07-30 12:31:30,Tourmaline Oil Corp.,2025-07-30 00:00:00,2025-08-01 00:00:00,2026-02-27 00:00:00,Temporary Diversion Licence,Commercial,Industrial,Upstream Oil & Gas,Multi-Stage Horizontal Hydraulic Fracturing (Drilling & Completions),Point of use,2025-07-30 12:31:30,AER0102806,,Active,,,,,,,,,NE-22-040-07-W5,,,,,05CC,MEDICINE - BLINDMAN RIVERS,Red Deer River,52.4607,-114.9144,Alberta Energy Regulator,,10002520,https://geospatial.alberta.ca/erv-water-act/?page=Water-Act&authorizationNumber=10002520,,False,ERV fallback (direct PDF not found in HTML),2026-03-19 17:50:44
33595493,10002570,,,Active,2025-08-07 11:39:04,Tourmaline Oil Corp.,2025-08-07 00:00:00,2025-08-18 00:00:00,2026-03-31 00:00:00,Temporary Diversion Licence,Commercial,Industrial,Upstream Oil & Gas,Multi-Stage Horizontal Hydraulic Fracturing (Drilling & Completions),Point of use,2025-08-07 11:39:04,AER0103078,,Active,,,,,,,,,NW-07-040-06-W5,,,,,05CC,MEDICINE - BLINDMAN RIVERS,Red Deer River,52.4296,-114.8641,Alberta Energy Regulator,,10002570,https://geospatial.alberta.ca/erv-water-act/?page=Water-Act&authorizationNumber=10002570,,False,ERV fallback (direct PDF not found in HTML),2026-03-19 17:50:46
