AuthorizationNumber,PdfHyperlink,DocumentID,PdfFound,PdfSource,LastChecked
10002189,https://geospatial.alberta.ca/erv-water-act/?page=Water-Act&authorizationNumber=10002189,,False,ERV fallback (direct PDF not found in HTML),2026-03-19 17:50:33
10002213,https://geospatial.alberta.ca/erv-water-act/?page=Water-Act&authorizationNumber=10002213,,False,ERV fallback (direct PDF not found in HTML),2026-03-19 17:50:34
10002237,https://geospatial.alberta.ca/erv-water-act/?page=Water-Act&authorizationNumber=10002237,,False,ERV fallback (direct PDF not found in HTML),2026-03-19 17:50:34
10002269,https://geospatial.alberta.ca/erv-water-act/?page=Water-Act&authorizationNumber=10002269,,False,ERV fallback (direct PDF not found in HTML),2026-03-19 17:50:35
10002271,https://geospatial.alberta.ca/erv-water-act/?page=Water-Act&authorizationNumber=10002271,,False,ERV fallback (direct PDF not found in HTML),2026-03-19 17:50:35
10002274,https://geospatial.alberta.ca/erv-water-act/?page=Water-Act&authorizationNumber=10002274,,False,ERV fallback (direct PDF not found in HTML),2026-03-19 17:50:36
10002283,https://geospatial.alberta.ca/erv-water-act/?page=Water-Act&authorizationNumber=10002283,,False,ERV fallback (direct PDF not found in HTML),2026-03-19 17:50:36
10002303,https://geospatial.alberta.ca/erv-water-act/?page=Water-Act&authorizationNumber=10002303,,False,ERV fallback (direct PDF not found in HTML),2026-03-19 17:50:37
10002319,https://geospatial.alberta.ca/erv-water-act/?page=Water-Act&authorizationNumber=10002319,,False,ERV fallback (direct PDF not found in HTML),2026-03-19 17:50:38
10002323,https://geospatial.alberta.ca/erv-water-act/?page=Water-Act&authorizationNumber=10002323,,False,ERV fallback (direct PDF not found in HTML),2026-03-19 17:50:38
10002336,https://geospatial.alberta.ca/erv-water-act/?page=Water-Act&authorizationNumber=10002336,,False,ERV fallback (direct PDF not found in HTML),2026-03-19 17:50:39
10002356,https://geospatial.alberta.ca/erv-water-act/?page=Water-Act&authorizationNumber=10002356,,False,ERV fallback (direct PDF not found in HTML),2026-03-19 17:50:39
10002363,https://geospatial.alberta.ca/erv-water-act/?page=Water-Act&authorizationNumber=10002363,,False,ERV fallback (direct PDF not found in HTML),2026-03-19 17:50:40
10002430,https://geospatial.alberta.ca/erv-water-act/?page=Water-Act&authorizationNumber=10002430,,False,ERV fallback (direct PDF not found in HTML),2026-03-19 17:50:40
10002455,https://geospatial.alberta.ca/erv-water-act/?page=Water-Act&authorizationNumber=10002455,,False,ERV fallback (direct PDF not found in HTML),2026-03-19 17:50:41
